PrescriptionID,PetID,VetID,Diagnosis,Dosage,DateIssued,MedicationID
PR20197,P05633,V1024,Severe Infection,2 times a day for 3 days,2024-04-19,M10002
PR20198,P09780,V1005,Mild Infection,1 times a day for 12 days,2025-01-08,M10004
PR20199,P07327,V1014,Nutritional Deficiency,1 times a day for 8 days,2024-10-09,M10000
PR20200,P02317,V1023,Allergic Dermatitis,1 times a day for 12 days,2025-01-21,M10000
PR20201,P02318,V1041,Mild Infection,2 times a day for 13 days,2024-05-26,M10004
PR20202,P03786,V1034,Mild Infection,1 times a day for 5 days,2024-04-28,M10004
PR20203,P00501,V1014,Parasitic Infestation,2 times a day for 12 days,2024-02-22,M10002
PR20204,P06022,V1031,Fungal Infection,2 times a day for 11 days,2024-07-15,M10004
PR20205,P05992,V1023,Mild Infection,1 times a day for 11 days,2024-04-16,M10004
PR20206,P06427,V1033,Nutritional Deficiency,1 times a day for 7 days,2025-02-20,M10000
PR20207,P02508,V1042,Severe Gingivitis,2 times a day for 12 days,2024-02-06,M10004
PR20208,P00168,V1004,Mild Infection,1 times a day for 9 days,2024-01-30,M10004
PR20209,P05314,V1016,Internal Injury,3 times a day for 9 days,2024-12-07,M10085
PR20210,P01185,V1037,Fungal Infection,3 times a day for 5 days,2024-11-29,M10004
PR20211,P06271,V1040,Internal Injury,2 times a day for 4 days,2025-01-08,M10067
PR20212,P06180,V1003,Fracture,3 times a day for 12 days,2024-02-02,M10085
PR20213,P00708,V1026,Mild Infection,1 times a day for 4 days,2024-10-15,M10004
PR20214,P02592,V1031,Fungal Infection,3 times a day for 6 days,2024-06-06,M10004
PR20215,P09106,V1017,Fungal Infection,2 times a day for 10 days,2024-03-13,M10004
PR20216,P06208,V1029,Severe Infection,2 times a day for 9 days,2025-02-08,M10002
PR20217,P01469,V1047,Severe Gingivitis,1 times a day for 12 days,2024-08-08,M10004
PR20218,P08523,V1045,Mild Infection,1 times a day for 12 days,2024-01-15,M10004
PR20219,P05218,V1034,Tooth Decay,2 times a day for 10 days,2024-01-09,M10064
PR20220,P09795,V1044,Fracture,1 times a day for 5 days,2024-06-30,M10014
PR20221,P01771,V1040,Mild Infection,2 times a day for 4 days,2024-10-21,M10004
PR20222,P07245,V1031,Fungal Infection,2 times a day for 9 days,2024-01-06,M10004
PR20223,P08698,V1011,Fracture,3 times a day for 13 days,2024-08-30,M10053
PR20224,P08867,V1037,Allergic Dermatitis,3 times a day for 14 days,2024-04-27,M10000
PR20225,P03950,V1013,Fracture,1 times a day for 14 days,2025-02-03,M10032
PR20226,P04099,V1033,Dental Abscess,2 times a day for 9 days,2024-03-30,M10066
PR20227,P01834,V1025,Severe Infection,2 times a day for 5 days,2024-09-10,M10002
PR20228,P05574,V1029,Mild Infection,2 times a day for 3 days,2024-01-10,M10004
PR20229,P00875,V1049,Severe Infection,3 times a day for 4 days,2024-01-11,M10002
PR20230,P09140,V1026,Severe Infection,1 times a day for 7 days,2024-02-06,M10002
PR20231,P08457,V1033,Mild Infection,3 times a day for 8 days,2025-01-10,M10004
PR20232,P03441,V1045,Fungal Infection,1 times a day for 14 days,2024-06-21,M10004
PR20233,P00941,V1036,Fracture,1 times a day for 11 days,2024-11-09,M10035
PR20234,P03229,V1018,Internal Injury,3 times a day for 8 days,2024-09-28,M10018
PR20235,P09407,V1023,Nutritional Deficiency,3 times a day for 10 days,2024-06-01,M10000
PR20236,P02964,V1006,Nutritional Deficiency,1 times a day for 6 days,2024-12-28,M10000
PR20237,P04172,V1028,Internal Injury,1 times a day for 3 days,2024-01-12,M10077
PR20238,P09253,V1029,Nutritional Deficiency,3 times a day for 14 days,2024-03-18,M10000
PR20239,P04881,V1034,Mild Infection,3 times a day for 7 days,2024-09-01,M10004
PR20240,P01771,V1029,Severe Infection,3 times a day for 11 days,2024-08-15,M10002
PR20241,P00961,V1001,Allergic Dermatitis,1 times a day for 8 days,2024-06-01,M10000
PR20242,P00841,V1023,Mild Infection,3 times a day for 4 days,2024-09-27,M10004
PR20243,P06859,V1027,Fungal Infection,1 times a day for 12 days,2024-05-03,M10004
PR20244,P06312,V1038,Mild Infection,2 times a day for 14 days,2024-10-26,M10004
PR20245,P00821,V1046,Internal Injury,2 times a day for 4 days,2024-11-24,M10032
PR20246,P08542,V1027,Mild Infection,3 times a day for 9 days,2024-12-24,M10004
PR20247,P09285,V1000,Nutritional Deficiency,3 times a day for 13 days,2024-01-30,M10000
PR20248,P09504,V1029,Internal Injury,1 times a day for 4 days,2024-09-30,M10048
PR20249,P02943,V1036,Nutritional Deficiency,2 times a day for 9 days,2024-03-10,M10000
PR20250,P02277,V1007,Fracture,1 times a day for 5 days,2024-04-19,M10053
PR20251,P04769,V1049,Fracture,3 times a day for 10 days,2024-08-16,M10078
PR20252,P01008,V1008,Nutritional Deficiency,2 times a day for 7 days,2024-11-18,M10000
PR20253,P09991,V1033,Dental Abscess,1 times a day for 5 days,2024-07-05,M10064
PR20254,P07947,V1042,Nutritional Deficiency,2 times a day for 12 days,2024-03-24,M10000
PR20255,P01085,V1038,Mild Infection,1 times a day for 5 days,2024-03-16,M10004
PR20256,P00947,V1000,Nutritional Deficiency,1 times a day for 3 days,2025-01-11,M10000
PR20257,P06323,V1033,Nutritional Deficiency,3 times a day for 3 days,2024-11-11,M10000
PR20258,P02199,V1007,Internal Injury,2 times a day for 3 days,2024-06-16,M10032
PR20259,P01321,V1023,Fungal Infection,3 times a day for 7 days,2024-08-22,M10004
PR20260,P05265,V1010,Internal Injury,2 times a day for 3 days,2024-03-12,M10035
PR20261,P03045,V1020,Fracture,3 times a day for 12 days,2024-07-29,M10053
PR20262,P06151,V1013,Internal Injury,2 times a day for 4 days,2024-12-04,M10058
PR20263,P02875,V1040,Severe Infection,3 times a day for 9 days,2024-05-27,M10002
PR20264,P03672,V1008,Nutritional Deficiency,2 times a day for 3 days,2024-01-15,M10000
PR20265,P04591,V1028,Nutritional Deficiency,3 times a day for 3 days,2024-11-14,M10000
PR20266,P08702,V1034,Mild Infection,1 times a day for 13 days,2024-08-11,M10004
PR20267,P01399,V1016,Severe Infection,3 times a day for 12 days,2024-04-12,M10002
PR20268,P02166,V1032,Nutritional Deficiency,1 times a day for 11 days,2024-01-10,M10000
PR20269,P01186,V1047,Severe Gingivitis,3 times a day for 13 days,2024-05-30,M10004
PR20270,P02904,V1017,Nutritional Deficiency,1 times a day for 3 days,2024-11-28,M10000
PR20271,P06759,V1018,Mild Infection,2 times a day for 9 days,2024-03-31,M10004
PR20272,P04992,V1009,Fracture,1 times a day for 3 days,2024-06-18,M10014
PR20273,P00361,V1010,Internal Injury,2 times a day for 3 days,2024-02-19,M10067
PR20274,P00286,V1013,Severe Infection,2 times a day for 3 days,2024-07-13,M10002
PR20275,P05720,V1020,Fracture,3 times a day for 10 days,2025-01-07,M10066
PR20276,P06464,V1019,Severe Infection,3 times a day for 10 days,2024-01-18,M10002
PR20277,P01624,V1027,Nutritional Deficiency,1 times a day for 10 days,2024-06-24,M10000
PR20278,P04755,V1005,Mild Infection,1 times a day for 3 days,2025-02-19,M10004
PR20279,P02690,V1046,Internal Injury,2 times a day for 13 days,2024-01-21,M10058
PR20280,P05570,V1045,Parasitic Infestation,3 times a day for 14 days,2024-06-08,M10002
PR20281,P08938,V1001,Parasitic Infestation,1 times a day for 14 days,2024-01-11,M10002
PR20282,P08521,V1019,Fracture,2 times a day for 7 days,2024-01-28,M10020
PR20283,P09464,V1013,Fracture,3 times a day for 12 days,2024-11-14,M10020
PR20284,P08962,V1017,Allergic Dermatitis,1 times a day for 9 days,2024-08-13,M10000
PR20285,P08126,V1046,Severe Infection,1 times a day for 10 days,2024-05-06,M10002
PR20286,P06496,V1015,Fracture,1 times a day for 9 days,2024-03-14,M10058
PR20287,P05052,V1047,Dental Abscess,2 times a day for 10 days,2024-12-13,M10066
PR20288,P09598,V1036,Internal Injury,1 times a day for 10 days,2024-05-16,M10064
PR20289,P06988,V1030,Fracture,3 times a day for 7 days,2024-02-23,M10002
PR20290,P05900,V1030,Internal Injury,2 times a day for 13 days,2024-11-25,M10048
PR20291,P09903,V1034,Dental Abscess,2 times a day for 4 days,2024-04-25,M10000
PR20292,P08063,V1033,Mild Infection,3 times a day for 3 days,2024-12-12,M10004
PR20293,P09815,V1010,Mild Infection,1 times a day for 13 days,2024-06-23,M10004
PR20294,P00583,V1016,Internal Injury,2 times a day for 3 days,2024-08-30,M10070
PR20295,P01072,V1036,Mild Infection,3 times a day for 9 days,2024-06-22,M10004
PR20296,P07333,V1003,Severe Infection,1 times a day for 10 days,2024-03-19,M10002
PR20297,P05829,V1036,Nutritional Deficiency,2 times a day for 13 days,2024-05-01,M10000
PR20298,P02799,V1013,Internal Injury,1 times a day for 6 days,2024-03-15,M10048
PR20299,P00087,V1043,Mild Infection,2 times a day for 11 days,2024-05-09,M10004
PR20300,P03959,V1004,Tooth Decay,2 times a day for 11 days,2024-01-28,M10002
PR20301,P05739,V1010,Nutritional Deficiency,2 times a day for 14 days,2024-04-10,M10000
PR20302,P07392,V1020,Fracture,1 times a day for 9 days,2024-02-20,M10018
PR20303,P05695,V1011,Fracture,2 times a day for 13 days,2024-08-06,M10026
PR20304,P04918,V1037,Parasitic Infestation,1 times a day for 12 days,2025-01-12,M10002
PR20305,P01685,V1017,Fungal Infection,2 times a day for 10 days,2024-08-10,M10004
PR20306,P06302,V1040,Nutritional Deficiency,2 times a day for 14 days,2024-06-27,M10000
PR20307,P02771,V1017,Nutritional Deficiency,3 times a day for 7 days,2024-12-13,M10000
PR20308,P05907,V1006,Fungal Infection,1 times a day for 8 days,2024-07-05,M10004
PR20309,P02941,V1039,Allergic Dermatitis,2 times a day for 10 days,2024-02-04,M10000
PR20310,P08333,V1037,Fungal Infection,2 times a day for 7 days,2024-04-20,M10004
PR20311,P06778,V1032,Nutritional Deficiency,1 times a day for 6 days,2025-02-07,M10000
PR20312,P01030,V1002,Severe Infection,3 times a day for 14 days,2024-07-21,M10002
PR20313,P07369,V1027,Nutritional Deficiency,3 times a day for 6 days,2024-04-16,M10000
PR20314,P06519,V1045,Parasitic Infestation,2 times a day for 7 days,2024-12-25,M10002
PR20315,P00455,V1025,Mild Infection,2 times a day for 6 days,2024-04-04,M10004
PR20316,P04478,V1032,Fracture,1 times a day for 7 days,2024-05-19,M10004
PR20317,P05125,V1020,Severe Infection,2 times a day for 3 days,2024-06-12,M10002
PR20318,P04834,V1005,Tooth Decay,1 times a day for 10 days,2024-10-14,M10085
PR20319,P08814,V1008,Fracture,2 times a day for 7 days,2024-08-22,M10015
PR20320,P09557,V1044,Nutritional Deficiency,1 times a day for 7 days,2024-03-15,M10000
PR20321,P01301,V1016,Fracture,2 times a day for 8 days,2024-06-01,M10064
PR20322,P09498,V1032,Mild Infection,1 times a day for 5 days,2024-09-20,M10004
