BillID,AppointmentID,Total_amt,Payment_Date,Payment_Status
B10453,A11160,287,6/24/2024,Completed
B10454,A11161,265,,Pending
B10455,A11163,240,,Pending
B10456,A11164,93,,Pending
B10457,A11165,261,1/21/2024,Completed
B10458,A11168,190,,Pending
B10459,A11171,310,1/11/2024,Completed
B10460,A11172,217,9/26/2024,Completed
B10461,A11173,175,,Pending
B10462,A11175,257,,Pending
B10463,A11178,439,,Pending
B10464,A11182,469,12/6/2024,Completed
B10465,A11187,387,11/14/2024,Completed
B10466,A11189,333,8/13/2024,Completed
B10467,A11190,308,,Pending
B10468,A11191,323,,Pending
B10469,A11193,227,3/14/2024,Completed
B10470,A11195,173,12/13/2024,Completed
B10471,A11197,333,,Pending
B10472,A11206,221,5/16/2024,Completed
B10473,A11208,352,,Pending
B10474,A11209,362,5/3/2024,Completed
B10475,A11210,130,,Pending
B10476,A11212,222,2/20/2025,Completed
B10477,A11213,58,,Pending
B10478,A11217,264,,Pending
B10479,A11218,448,,Pending
B10480,A11219,320,,Pending
B10481,A11221,374,8/30/2024,Completed
B10482,A11222,318,,Pending
B10483,A11225,113,,Pending
B10484,A11227,156,,Pending
B10485,A11231,337,7/10/2024,Completed
B10486,A11233,420,5/1/2024,Completed
B10487,A11235,461,3/15/2024,Completed
B10488,A11237,179,5/9/2024,Completed
B10489,A11238,242,,Pending
B10490,A11242,109,1/28/2024,Completed
B10491,A11243,360,,Pending
B10492,A11248,196,2/20/2024,Completed
B10493,A11249,330,5/18/2024,Completed
B10494,A11251,500,,Pending
B10495,A11252,475,,Pending
B10496,A11256,427,,Pending
B10497,A11261,242,6/27/2024,Completed
B10498,A11263,488,,Pending
B10499,A11264,493,,Pending
B10500,A11266,91,,Pending
B10501,A11267,408,2/18/2025,Completed
B10502,A11268,483,4/20/2024,Completed
B10503,A11271,264,2/7/2025,Completed
B10504,A11274,464,12/24/2024,Completed
B10505,A11277,220,,Pending
B10506,A11278,327,7/21/2024,Completed
B10507,A11280,383,,Pending
B10508,A11281,416,,Pending
B10509,A11282,295,,Pending
B10510,A11284,140,7/24/2024,Completed
B10511,A11286,102,12/25/2024,Completed
B10512,A11287,462,12/23/2024,Completed
B10513,A11288,417,4/4/2024,Completed
B10514,A11292,367,,Pending
B10515,A11295,382,2/1/2024,Completed
B10516,A11296,224,11/17/2024,Completed
B10517,A11297,444,9/23/2024,Completed
B10518,A11298,107,2/11/2024,Completed
B10519,A11302,398,5/19/2024,Completed
B10520,A11304,110,,Pending
B10521,A11307,214,,Pending
B10522,A11309,163,11/1/2024,Completed
B10523,A11312,347,,Pending
B10524,A11313,490,3/15/2024,Completed
B10525,A11317,455,6/1/2024,Completed
B10526,A11323,402,9/20/2024,Completed
B10527,A11327,79,9/19/2024,Completed
B10528,A11331,143,,Pending
B10529,A11334,193,2/9/2025,Completed
B10530,A11336,380,,Pending
B10531,A11338,166,1/5/2024,Completed
B10532,A11339,289,,Pending
B10533,A11340,222,10/6/2024,Completed
B10534,A11342,350,,Pending
B10535,A11356,275,9/26/2024,Completed
B10536,A11359,462,,Pending
B10537,A11364,472,,Pending
B10538,A11365,340,,Pending
B10539,A11367,158,5/11/2024,Completed
B10540,A11373,227,,Pending
B10541,A11376,55,,Pending
B10542,A11383,440,,Pending
B10543,A11389,181,10/26/2024,Completed
B10544,A11391,201,2/6/2025,Completed
B10545,A11394,65,,Pending
B10546,A11397,490,12/3/2024,Completed
B10547,A11401,245,6/5/2024,Completed
B10548,A11404,80,2/25/2024,Completed
B10549,A11406,185,,Pending
B10550,A11409,53,,Pending
B10551,A11410,149,7/5/2024,Completed
B10552,A11414,100,,Pending
B10553,A11416,265,2/24/2024,Completed
B10554,A11418,220,,Pending
B10555,A11423,448,,Pending
B10556,A11424,410,,Pending
B10557,A11429,213,2/17/2024,Completed
B10558,A11431,187,6/28/2024,Completed
B10559,A11432,454,2/10/2024,Completed
B10560,A11433,179,11/13/2024,Completed
B10561,A11434,270,4/17/2024,Completed
B10562,A11435,393,,Pending
B10563,A11437,500,,Pending
B10564,A11442,185,,Pending
B10565,A11445,190,7/4/2024,Completed
B10566,A11446,423,10/24/2024,Completed
B10567,A11448,77,7/1/2024,Completed
B10568,A11452,157,1/24/2024,Completed
B10569,A11453,208,10/10/2024,Completed
B10570,A11456,70,11/9/2024,Completed
B10571,A11462,149,,Pending
B10572,A11463,240,7/6/2024,Completed
B10573,A11464,362,,Pending
B10574,A11465,375,,Pending
B10575,A11467,460,,Pending
B10576,A11471,191,1/27/2025,Completed
B10577,A11472,135,4/7/2024,Completed
B10578,A11477,310,8/29/2024,Completed
B10579,A11478,358,10/19/2024,Completed
B10580,A11479,392,7/20/2024,Completed
B10581,A11480,206,,Pending
B10582,A11484,434,,Pending
B10583,A11486,349,,Pending
B10584,A11487,264,11/8/2024,Completed
B10585,A11490,334,,Pending
B10586,A11491,225,3/5/2024,Completed
B10587,A11497,362,1/1/2025,Completed
B10588,A11499,321,3/28/2024,Completed
B10589,A11508,370,,Pending
B10590,A11509,68,5/13/2024,Completed
B10591,A11510,364,12/12/2024,Completed
B10592,A11511,125,,Pending
B10593,A11513,115,3/4/2024,Completed
B10594,A11518,318,,Pending
B10595,A11519,326,6/30/2024,Completed
B10596,A11521,443,11/1/2024,Completed
B10597,A11522,251,,Pending
B10598,A11523,79,,Pending
B10599,A11528,490,,Pending
B10600,A11532,61,,Pending
B10601,A11534,269,,Pending
B10602,A11535,293,3/26/2024,Completed
B10603,A11538,389,,Pending
B10604,A11539,456,2/21/2024,Completed
B10605,A11540,215,,Pending
B10606,A11543,415,,Pending
B10607,A11544,153,,Pending
B10608,A11547,443,2/3/2025,Completed
B10609,A11548,324,,Pending
B10610,A11550,185,8/14/2024,Completed
B10611,A11551,393,6/22/2024,Completed
B10612,A11553,133,,Pending
B10613,A11557,396,5/23/2024,Completed
B10614,A11558,374,9/30/2024,Completed
B10615,A11563,105,,Pending
B10616,A11564,187,2/11/2025,Completed
B10617,A11566,363,,Pending
B10618,A11568,266,,Pending
B10619,A11570,470,2/14/2024,Completed
B10620,A11571,431,1/1/2025,Completed
B10621,A11574,398,1/17/2024,Completed
B10622,A11575,425,,Pending
B10623,A11578,160,7/17/2024,Completed
B10624,A11579,148,1/18/2024,Completed
B10625,A11581,90,,Pending
B10626,A11585,477,6/3/2024,Completed
B10627,A11587,376,,Pending
B10628,A11600,234,,Pending
B10629,A11601,328,4/26/2024,Completed
B10630,A11604,491,,Pending
B10631,A11609,353,1/4/2025,Completed
B10632,A11612,386,,Pending
B10633,A11618,258,5/15/2024,Completed
B10634,A11620,436,,Pending
B10635,A11621,366,8/27/2024,Completed
B10636,A11622,67,4/21/2024,Completed
B10637,A11623,199,11/14/2024,Completed
B10638,A11625,481,4/24/2024,Completed
B10639,A11627,416,,Pending
B10640,A11632,155,,Pending
B10641,A11633,284,2/6/2024,Completed
B10642,A11635,222,,Pending
B10643,A11638,383,1/10/2025,Completed
B10644,A11646,464,9/17/2024,Completed
B10645,A11648,256,10/10/2024,Completed
B10646,A11649,227,,Pending
B10647,A11653,228,4/30/2024,Completed
B10648,A11656,75,8/29/2024,Completed
B10649,A11657,374,1/14/2025,Completed
B10650,A11659,161,,Pending
B10651,A11665,227,8/5/2024,Completed
B10652,A11672,57,,Pending
B10653,A11674,83,,Pending
B10654,A11675,471,6/30/2024,Completed
B10655,A11677,107,12/15/2024,Completed
B10656,A11678,255,,Pending
B10657,A11680,122,,Pending
B10658,A11682,425,,Pending
B10659,A11683,363,,Pending
B10660,A11684,349,5/13/2024,Completed
B10661,A11685,144,,Pending
B10662,A11686,407,,Pending
B10663,A11687,246,1/15/2025,Completed
B10664,A11690,69,1/26/2025,Completed
B10665,A11691,398,,Pending
B10666,A11694,430,3/11/2024,Completed
B10667,A11696,373,7/17/2024,Completed
B10668,A11701,215,,Pending
B10669,A11705,404,6/22/2024,Completed
B10670,A11708,188,2/19/2025,Completed
B10671,A11710,65,1/2/2024,Completed
B10672,A11712,86,,Pending
B10673,A11713,150,7/22/2024,Completed
B10674,A11715,272,6/5/2024,Completed
B10675,A11717,417,2/7/2025,Completed
B10676,A11718,60,10/24/2024,Completed
B10677,A11719,464,10/16/2024,Completed
B10678,A11723,276,,Pending
B10679,A11726,69,,Pending
B10680,A11727,342,7/13/2024,Completed
B10681,A11729,447,1/4/2024,Completed
B10682,A11730,163,,Pending
B10683,A11731,233,10/17/2024,Completed
B10684,A11733,239,12/27/2024,Completed
B10685,A11737,390,12/2/2024,Completed
B10686,A11738,394,10/27/2024,Completed
B10687,A11739,158,,Pending
B10688,A11751,336,,Pending
B10689,A11752,449,,Pending
B10690,A11756,260,7/12/2024,Completed
B10691,A11758,450,,Pending
B10692,A11769,114,,Pending
B10693,A11772,203,1/9/2025,Completed
B10694,A11773,326,12/23/2024,Completed
B10695,A11775,191,,Pending
B10696,A11780,251,,Pending
B10697,A11784,320,7/21/2024,Completed
B10698,A11786,353,3/19/2024,Completed
B10699,A11787,94,,Pending
B10700,A11789,480,,Pending
B10701,A11790,362,,Pending
B10702,A11792,340,,Pending
B10703,A11798,203,7/6/2024,Completed
B10704,A11799,98,9/27/2024,Completed
B10705,A11800,134,1/27/2025,Completed
B10706,A11802,219,,Pending
B10707,A11803,71,8/27/2024,Completed
B10708,A11808,454,,Pending
B10709,A11811,279,,Pending
B10710,A11812,174,4/26/2024,Completed
B10711,A11817,187,,Pending
B10712,A11821,242,,Pending
B10713,A11822,391,,Pending
B10714,A11824,257,,Pending
B10715,A11827,276,,Pending
B10716,A11829,200,,Pending
B10717,A11831,472,11/17/2024,Completed
B10718,A11832,444,,Pending
B10719,A11833,181,,Pending
B10720,A11836,114,,Pending
B10721,A11837,178,9/6/2024,Completed
B10722,A11838,462,,Pending
B10723,A11842,163,8/1/2024,Completed
B10724,A11844,353,9/9/2024,Completed
B10725,A11845,461,2/5/2025,Completed
B10726,A11852,368,1/1/2025,Completed
B10727,A11853,213,9/2/2024,Completed
B10728,A11856,336,,Pending
B10729,A11857,77,2/22/2024,Completed
B10730,A11858,449,,Pending
B10731,A11859,126,3/23/2024,Completed
B10732,A11864,410,5/22/2024,Completed
B10733,A11865,181,11/3/2024,Completed
B10734,A11868,217,1/17/2024,Completed
B10735,A11872,479,4/7/2024,Completed
B10736,A11874,116,4/19/2024,Completed
B10737,A11875,106,4/3/2024,Completed
B10738,A11876,142,4/26/2024,Completed
B10739,A11878,192,,Pending
B10740,A11881,497,8/19/2024,Completed
B10741,A11883,269,,Pending
B10742,A11884,149,,Pending
B10743,A11888,120,,Pending
B10744,A11889,85,,Pending
B10745,A11893,97,9/30/2024,Completed
B10746,A11902,414,5/4/2024,Completed
B10747,A11904,214,6/5/2024,Completed
B10748,A11909,492,3/31/2024,Completed
B10749,A11911,306,1/5/2025,Completed
B10750,A11917,131,3/6/2024,Completed
B10751,A11918,384,11/24/2024,Completed
B10752,A11919,62,,Pending
B10753,A11924,389,5/24/2024,Completed
B10754,A11925,296,,Pending
B10755,A11926,138,,Pending
B10756,A11927,357,8/9/2024,Completed
B10757,A11930,276,3/7/2024,Completed
B10758,A11931,207,,Pending
B10759,A11932,175,,Pending
B10760,A11933,66,7/23/2024,Completed
B10761,A11936,194,1/5/2025,Completed
B10762,A11937,108,7/14/2024,Completed
B10763,A11940,78,1/29/2025,Completed
B10764,A11941,205,8/11/2024,Completed
B10765,A11942,488,2/10/2024,Completed
B10766,A11944,305,3/6/2024,Completed
B10767,A11945,76,6/16/2024,Completed
B10768,A11946,435,,Pending
B10769,A11949,235,11/13/2024,Completed
B10770,A11950,194,,Pending
B10771,A11951,487,1/19/2024,Completed
B10772,A11955,465,7/30/2024,Completed
B10773,A11960,284,,Pending
B10774,A11961,241,,Pending
