AppointmentID,PetID,VetID,ServiceType,ApptDate,Status,LocationID
A10135,P03472,V1020,Neurological Exam,9/14/2025,Scheduled,L001
A10136,P08923,V1009,Emergency,5/16/2024,Completed,L002
A10137,P09508,V1044,Checkup,4/26/2026,Scheduled,L001
A10138,P09898,V1013,Surgery,5/31/2024,Completed,L002
A10139,P07359,V1032,Checkup,1/16/2026,Cancelled,L002
A10140,P07261,V1020,Checkup,11/8/2025,Cancelled,L002
A10141,P02433,V1009,Emergency,11/17/2026,Scheduled,L001
A10142,P07520,V1035,Dental Cleaning,5/29/2025,Scheduled,L001
A10143,P05232,V1018,Emergency,11/27/2025,Cancelled,L001
A10144,P09580,V1024,Surgery,2/11/2026,Cancelled,L001
A10145,P02762,V1016,Surgery,10/9/2024,Completed,L001
A10146,P01794,V1005,Checkup,4/27/2024,Completed,L002
A10147,P02511,V1043,Dental Cleaning,4/5/2025,Cancelled,L002
A10148,P08475,V1029,Neurological Exam,1/16/2025,Completed,L001
A10149,P02074,V1048,Emergency,3/18/2024,Completed,L001
A10150,P09980,V1011,Emergency,5/11/2026,Cancelled,L001
A10151,P05564,V1002,Checkup,5/19/2024,Completed,L002
A10152,P06412,V1022,Skin Treatment,3/30/2026,Scheduled,L002
A10153,P05320,V1046,Emergency,10/2/2025,Scheduled,L001
A10154,P05252,V1021,Checkup,6/15/2026,Cancelled,L002
A10155,P02753,V1037,Skin Treatment,6/16/2025,Cancelled,L002
A10156,P09067,V1002,Checkup,2/5/2025,Completed,L001
A10157,P03761,V1006,Skin Treatment,8/4/2025,Scheduled,L001
A10158,P04785,V1044,Neurological Exam,11/19/2025,Scheduled,L001
A10159,P04256,V1002,Emergency,9/24/2026,Scheduled,L001
A10160,P05199,V1020,Neurological Exam,12/25/2025,Cancelled,L002
A10161,P07167,V1017,Checkup,6/16/2026,Scheduled,L002
A10162,P00277,V1048,Emergency,5/21/2026,Cancelled,L001
A10163,P01535,V1016,Emergency,5/30/2026,Scheduled,L002
A10164,P01737,V1049,Emergency,2/23/2026,Scheduled,L002
A10165,P08561,V1024,Surgery,1/9/2025,Completed,L002
A10166,P06510,V1018,Checkup,12/2/2026,Scheduled,L001
A10167,P06375,V1029,Neurological Exam,12/8/2025,Scheduled,L001
A10168,P04365,V1001,Checkup,8/5/2024,Completed,L002
A10169,P03138,V1043,Dental Cleaning,3/9/2024,Completed,L001
A10170,P06719,V1029,Checkup,6/13/2024,Completed,L002
A10171,P05144,V1021,Checkup,12/25/2024,Completed,L001
A10172,P02308,V1048,Surgery,1/22/2024,Completed,L002
A10173,P06672,V1017,Skin Treatment,1/28/2025,Completed,L001
A10174,P00572,V1010,Emergency,10/18/2025,Cancelled,L001
A10175,P04043,V1022,Skin Treatment,9/4/2025,Scheduled,L001
A10176,P03684,V1040,Checkup,11/11/2024,Completed,L002
A10177,P03894,V1045,Skin Treatment,7/17/2024,Completed,L001
A10178,P05370,V1049,Surgery,11/16/2024,Completed,L001
A10179,P00783,V1037,Skin Treatment,4/27/2026,Cancelled,L002
A10180,P07565,V1020,Checkup,12/27/2024,Completed,L001
A10181,P02202,V1040,Emergency,12/31/2024,Completed,L002
A10182,P05178,V1035,Checkup,11/1/2024,Completed,L001
A10183,P07663,V1017,Skin Treatment,3/24/2026,Cancelled,L001
A10184,P02680,V1031,Skin Treatment,10/4/2025,Scheduled,L002
A10185,P08242,V1012,Checkup,6/24/2024,Completed,L001
A10186,P08886,V1034,Dental Cleaning,9/4/2024,Completed,L002
A10187,P04047,V1000,Heart Screening,12/7/2026,Cancelled,L002
A10188,P08879,V1040,Emergency,5/24/2024,Completed,L001
A10189,P05687,V1003,Emergency,6/2/2024,Completed,L002
A10190,P02512,V1029,Emergency,2/7/2025,Completed,L002
A10191,P00127,V1048,Surgery,1/18/2025,Completed,L002
A10192,P04410,V1038,Dental Cleaning,11/12/2024,Completed,L001
A10193,P08319,V1035,Tooth Extraction,7/11/2026,Scheduled,L001
A10194,P04693,V1000,Checkup,12/7/2026,Cancelled,L001
A10195,P08197,V1012,Checkup,9/2/2024,Completed,L001
A10196,P05493,V1003,Surgery,7/28/2026,Scheduled,L001
A10197,P06948,V1031,Checkup,5/29/2024,Completed,L001
A10198,P05802,V1045,Skin Treatment,6/10/2026,Scheduled,L002
A10199,P08129,V1025,Checkup,12/14/2026,Scheduled,L001
A10200,P01989,V1000,Checkup,4/24/2025,Scheduled,L001
A10201,P00393,V1043,Checkup,2/27/2026,Scheduled,L001
A10202,P05084,V1004,Tooth Extraction,2/4/2025,Completed,L001
A10203,P06753,V1014,Checkup,12/21/2026,Scheduled,L002
A10204,P05378,V1030,Surgery,6/6/2024,Completed,L002
A10205,P00378,V1043,Tooth Extraction,4/19/2026,Cancelled,L002
A10206,P01456,V1005,Tooth Extraction,6/24/2024,Completed,L001
A10207,P07675,V1032,Heart Screening,2/26/2025,Completed,L001
A10208,P00481,V1000,Checkup,4/14/2025,Scheduled,L001
A10209,P08389,V1010,Checkup,12/24/2026,Cancelled,L002
A10210,P05164,V1043,Checkup,7/24/2024,Completed,L001
A10211,P09222,V1028,Checkup,10/10/2026,Scheduled,L001
A10212,P01437,V1032,Heart Screening,10/3/2024,Completed,L001
A10213,P08654,V1031,Checkup,9/21/2024,Completed,L001
A10214,P09333,V1002,Emergency,5/3/2024,Completed,L001
A10215,P09050,V1017,Checkup,2/2/2024,Completed,L001
A10216,P04623,V1010,Neurological Exam,6/8/2026,Cancelled,L001
A10217,P09006,V1048,Emergency,3/15/2024,Completed,L002
A10218,P00055,V1049,Emergency,11/24/2024,Completed,L002
A10219,P07271,V1010,Checkup,3/7/2025,Cancelled,L001
A10220,P05651,V1044,Emergency,4/12/2025,Cancelled,L001
A10221,P01020,V1047,Tooth Extraction,1/26/2025,Completed,L001
A10222,P07065,V1014,Skin Treatment,2/20/2025,Completed,L001
A10223,P08820,V1008,Emergency,2/22/2024,Completed,L001
A10224,P03476,V1030,Emergency,5/20/2025,Cancelled,L001
A10225,P03331,V1025,Checkup,9/6/2025,Cancelled,L002
A10226,P09334,V1025,Heart Screening,12/24/2025,Cancelled,L001
A10227,P01059,V1048,Emergency,9/1/2024,Completed,L001
A10228,P04087,V1039,Checkup,10/30/2024,Completed,L002
A10229,P03423,V1025,Emergency,7/4/2024,Completed,L001
A10230,P05540,V1034,Dental Cleaning,3/31/2024,Completed,L001
A10231,P02177,V1045,Checkup,5/18/2026,Cancelled,L001
A10232,P09129,V1009,Surgery,10/9/2026,Scheduled,L001
A10233,P02884,V1009,Surgery,1/30/2025,Completed,L002
A10234,P09713,V1025,Emergency,7/2/2026,Cancelled,L001
A10235,P02556,V1025,Emergency,8/6/2026,Cancelled,L002
A10236,P08955,V1039,Skin Treatment,4/16/2026,Cancelled,L001
A10237,P02499,V1041,Checkup,5/24/2026,Cancelled,L002
A10238,P08844,V1048,Emergency,5/27/2026,Cancelled,L002
A10239,P05529,V1019,Surgery,5/18/2025,Cancelled,L001
A10240,P01452,V1022,Skin Treatment,11/12/2024,Completed,L002
A10241,P07369,V1021,Skin Treatment,6/24/2024,Completed,L001
A10242,P02887,V1040,Checkup,1/22/2026,Cancelled,L001
A10243,P01833,V1009,Emergency,4/6/2025,Scheduled,L001
A10244,P06619,V1027,Skin Treatment,8/11/2025,Scheduled,L001
A10245,P07182,V1029,Emergency,2/18/2024,Completed,L001
A10246,P03250,V1033,Checkup,10/28/2024,Completed,L001
A10247,P07127,V1000,Emergency,9/20/2025,Scheduled,L002
A10248,P04162,V1021,Skin Treatment,5/31/2026,Scheduled,L002
A10249,P07932,V1035,Checkup,3/27/2025,Scheduled,L002
A10250,P00204,V1013,Emergency,11/15/2025,Scheduled,L002
A10251,P08475,V1043,Checkup,6/8/2026,Cancelled,L002
A10252,P07124,V1046,Surgery,11/17/2026,Scheduled,L002
A10253,P03616,V1014,Checkup,9/9/2026,Scheduled,L001
A10254,P05948,V1021,Checkup,1/6/2025,Completed,L001
A10255,P04784,V1007,Emergency,8/22/2025,Scheduled,L001
A10256,P01971,V1023,Checkup,1/11/2026,Scheduled,L002
A10257,P06109,V1010,Neurological Exam,2/23/2024,Completed,L001
A10258,P06623,V1042,Checkup,8/5/2025,Scheduled,L002
A10259,P06444,V1009,Surgery,12/17/2026,Scheduled,L001
A10260,P02911,V1015,Emergency,9/14/2025,Cancelled,L001
A10261,P04010,V1011,Checkup,3/17/2024,Completed,L001
A10262,P09994,V1021,Skin Treatment,4/8/2026,Cancelled,L001
A10263,P07434,V1009,Emergency,8/29/2026,Scheduled,L002
A10264,P03581,V1028,Checkup,10/14/2024,Completed,L001
A10265,P03592,V1004,Dental Cleaning,8/20/2025,Scheduled,L001
A10266,P09522,V1027,Skin Treatment,11/5/2025,Cancelled,L002
A10267,P06889,V1034,Dental Cleaning,10/31/2026,Scheduled,L001
A10268,P08399,V1025,Checkup,8/29/2026,Cancelled,L002
A10269,P04709,V1014,Skin Treatment,12/25/2025,Scheduled,L001
A10270,P08831,V1048,Surgery,7/4/2025,Cancelled,L002
A10271,P08423,V1005,Tooth Extraction,1/11/2025,Completed,L001
A10272,P03092,V1008,Emergency,9/23/2024,Completed,L001
A10273,P06042,V1004,Tooth Extraction,8/12/2026,Scheduled,L002
A10274,P07977,V1007,Emergency,11/18/2026,Cancelled,L002
A10275,P03021,V1047,Dental Cleaning,4/15/2025,Cancelled,L001
A10276,P01641,V1014,Skin Treatment,7/13/2025,Scheduled,L002
A10277,P06169,V1002,Checkup,12/12/2024,Completed,L001
A10278,P08911,V1004,Tooth Extraction,7/1/2026,Scheduled,L001
A10279,P08910,V1027,Skin Treatment,8/31/2026,Scheduled,L001
A10280,P07441,V1003,Surgery,12/4/2026,Cancelled,L002
A10281,P01431,V1042,Checkup,4/2/2026,Scheduled,L002
A10282,P09590,V1007,Heart Screening,1/4/2025,Completed,L001
A10283,P00128,V1026,Emergency,9/14/2026,Scheduled,L001
A10284,P02191,V1037,Checkup,8/30/2026,Cancelled,L002
A10285,P00440,V1036,Emergency,3/31/2025,Cancelled,L001
A10286,P09218,V1033,Checkup,7/8/2025,Scheduled,L002
A10287,P02123,V1045,Skin Treatment,2/20/2026,Cancelled,L002
A10288,P09957,V1010,Neurological Exam,2/13/2026,Scheduled,L001
A10289,P09219,V1029,Checkup,4/2/2025,Cancelled,L002
A10290,P09260,V1007,Checkup,4/22/2026,Scheduled,L002
A10291,P01387,V1018,Checkup,7/29/2025,Cancelled,L001
A10292,P02997,V1045,Skin Treatment,4/12/2026,Cancelled,L001
A10293,P07379,V1047,Checkup,9/16/2026,Scheduled,L001
A10294,P02506,V1004,Dental Cleaning,4/8/2026,Cancelled,L002
A10295,P05437,V1013,Surgery,1/30/2026,Cancelled,L002
A10296,P08191,V1044,Checkup,6/20/2024,Completed,L001
A10297,P07713,V1024,Surgery,11/27/2026,Scheduled,L001
A10298,P08846,V1019,Emergency,5/3/2024,Completed,L001
A10299,P00599,V1011,Checkup,5/23/2024,Completed,L001
A10300,P01066,V1035,Dental Cleaning,7/29/2025,Scheduled,L001
A10301,P08766,V1026,Emergency,5/28/2025,Scheduled,L001
A10302,P00255,V1015,Emergency,12/19/2025,Cancelled,L001
A10303,P00394,V1044,Neurological Exam,2/13/2025,Completed,L002
A10304,P08196,V1015,Surgery,5/24/2026,Cancelled,L001
A10305,P05656,V1041,Skin Treatment,11/30/2024,Completed,L001
A10306,P06871,V1048,Emergency,8/28/2025,Cancelled,L002
A10307,P04429,V1037,Checkup,4/9/2025,Scheduled,L001
A10308,P09301,V1008,Emergency,10/11/2026,Scheduled,L002
A10309,P07134,V1012,Checkup,10/16/2024,Completed,L001
A10310,P09565,V1037,Checkup,11/3/2024,Completed,L001
A10311,P03812,V1049,Surgery,5/4/2025,Cancelled,L001
A10312,P08308,V1031,Checkup,11/17/2026,Cancelled,L001
A10313,P00524,V1002,Checkup,12/3/2024,Completed,L001
A10314,P02808,V1007,Checkup,4/2/2024,Completed,L002
A10315,P06106,V1010,Checkup,2/1/2024,Completed,L001
A10316,P00018,V1000,Emergency,6/23/2026,Scheduled,L001
A10317,P04223,V1025,Emergency,1/8/2025,Completed,L001
A10318,P07475,V1003,Emergency,11/9/2026,Cancelled,L001
A10319,P03831,V1008,Checkup,5/21/2025,Cancelled,L001
A10320,P08599,V1043,Dental Cleaning,5/23/2024,Completed,L002
A10321,P00553,V1039,Checkup,1/4/2025,Completed,L002
A10322,P05221,V1004,Checkup,10/10/2025,Cancelled,L001
A10323,P05430,V1016,Surgery,8/15/2026,Cancelled,L002
A10324,P01267,V1021,Checkup,4/7/2024,Completed,L001
A10325,P07737,V1044,Emergency,11/5/2025,Scheduled,L001
A10326,P05294,V1029,Checkup,11/20/2025,Scheduled,L001
A10327,P05673,V1041,Checkup,5/22/2024,Completed,L001
A10328,P00343,V1023,Checkup,1/26/2025,Completed,L002
A10329,P05782,V1046,Surgery,5/8/2025,Cancelled,L001
A10330,P04878,V1011,Emergency,7/23/2024,Completed,L002
A10331,P00835,V1022,Checkup,11/21/2024,Completed,L001
A10332,P05225,V1022,Checkup,7/2/2025,Cancelled,L002
A10333,P08935,V1035,Dental Cleaning,8/5/2024,Completed,L002
A10334,P08045,V1001,Checkup,6/15/2026,Cancelled,L001
A10335,P01104,V1023,Skin Treatment,10/21/2024,Completed,L001
A10336,P06299,V1043,Tooth Extraction,12/11/2025,Scheduled,L001
A10337,P03283,V1020,Checkup,2/26/2026,Cancelled,L001
A10338,P08237,V1017,Checkup,9/22/2025,Cancelled,L001
A10339,P06672,V1015,Surgery,4/19/2024,Completed,L002
A10340,P01756,V1042,Checkup,4/7/2026,Cancelled,L001
A10341,P09042,V1026,Neurological Exam,8/16/2024,Completed,L002
A10342,P08360,V1045,Checkup,6/4/2026,Scheduled,L002
A10343,P04513,V1007,Checkup,2/21/2025,Completed,L001
A10344,P01483,V1006,Checkup,4/28/2026,Cancelled,L001
A10345,P01391,V1032,Emergency,2/9/2025,Completed,L001
A10346,P00505,V1027,Skin Treatment,7/26/2024,Completed,L001
A10347,P07977,V1030,Emergency,12/1/2026,Cancelled,L001
A10348,P01734,V1029,Checkup,10/23/2026,Scheduled,L001
A10349,P03309,V1016,Emergency,2/11/2025,Completed,L001
A10350,P07193,V1025,Emergency,5/2/2024,Completed,L002
A10351,P08643,V1017,Skin Treatment,12/3/2025,Cancelled,L001
A10352,P02884,V1009,Surgery,3/18/2026,Scheduled,L002
A10353,P08312,V1022,Skin Treatment,3/13/2026,Cancelled,L001
A10354,P05354,V1001,Checkup,8/5/2026,Scheduled,L002
A10355,P00841,V1014,Skin Treatment,7/11/2025,Cancelled,L001
A10356,P03829,V1004,Tooth Extraction,6/15/2026,Scheduled,L002
A10357,P06116,V1019,Surgery,6/27/2025,Cancelled,L002
A10358,P02315,V1005,Checkup,3/30/2026,Cancelled,L002
A10359,P03904,V1008,Neurological Exam,10/2/2025,Scheduled,L002
A10360,P06281,V1009,Surgery,10/10/2026,Cancelled,L001
A10361,P05012,V1038,Checkup,5/27/2026,Cancelled,L001
A10362,P03832,V1010,Neurological Exam,4/4/2025,Cancelled,L002
A10363,P05489,V1042,Dental Cleaning,7/3/2024,Completed,L002
A10364,P03529,V1025,Checkup,11/8/2026,Scheduled,L001
A10365,P05237,V1021,Checkup,2/13/2025,Completed,L001
A10366,P04981,V1036,Heart Screening,9/15/2025,Scheduled,L001
A10367,P02603,V1044,Emergency,1/25/2024,Completed,L001
A10368,P02394,V1000,Checkup,7/27/2025,Scheduled,L001
A10369,P05552,V1032,Checkup,11/14/2025,Scheduled,L002
A10370,P09269,V1013,Surgery,8/10/2026,Cancelled,L001
A10371,P08457,V1037,Skin Treatment,8/3/2025,Cancelled,L002
A10372,P04537,V1048,Surgery,12/13/2025,Scheduled,L001
A10373,P00386,V1033,Dental Cleaning,5/10/2026,Cancelled,L001
A10374,P04652,V1023,Checkup,1/2/2024,Completed,L002
A10375,P00586,V1007,Checkup,11/24/2025,Cancelled,L001
A10376,P08591,V1006,Skin Treatment,1/21/2026,Scheduled,L002
A10377,P09178,V1028,Heart Screening,9/22/2024,Completed,L001
A10378,P09352,V1043,Tooth Extraction,3/27/2024,Completed,L002
A10379,P02021,V1043,Checkup,12/13/2024,Completed,L001
A10380,P08427,V1000,Checkup,7/31/2024,Completed,L002
A10381,P05698,V1011,Neurological Exam,6/1/2025,Scheduled,L001
A10382,P01221,V1006,Skin Treatment,1/6/2026,Scheduled,L002
A10383,P09432,V1032,Heart Screening,3/19/2024,Completed,L001
A10384,P07075,V1015,Emergency,11/4/2025,Cancelled,L001
A10385,P02615,V1000,Heart Screening,9/11/2024,Completed,L001
A10386,P01445,V1021,Skin Treatment,4/23/2026,Cancelled,L002
A10387,P05725,V1022,Skin Treatment,7/25/2026,Cancelled,L001
A10388,P00192,V1013,Surgery,4/28/2024,Completed,L002
A10389,P01928,V1045,Skin Treatment,9/28/2026,Cancelled,L001
A10390,P05794,V1013,Emergency,4/2/2026,Cancelled,L001
A10391,P00981,V1012,Neurological Exam,1/16/2025,Completed,L001
A10392,P06511,V1029,Emergency,12/3/2026,Scheduled,L001
A10393,P02304,V1002,Checkup,7/2/2024,Completed,L002
A10394,P00194,V1034,Checkup,2/18/2025,Completed,L002
A10395,P07956,V1017,Skin Treatment,12/21/2024,Completed,L001
A10396,P01639,V1035,Tooth Extraction,9/14/2024,Completed,L001
A10397,P05453,V1043,Dental Cleaning,11/22/2024,Completed,L001
A10398,P02725,V1019,Emergency,2/25/2026,Cancelled,L002
A10399,P09400,V1049,Surgery,2/7/2024,Completed,L001
A10400,P07065,V1021,Skin Treatment,9/9/2026,Cancelled,L002
A10401,P07843,V1039,Skin Treatment,10/8/2025,Cancelled,L001
A10402,P01469,V1000,Emergency,6/9/2024,Completed,L002
A10403,P07180,V1032,Emergency,1/26/2026,Scheduled,L002
A10404,P00935,V1022,Skin Treatment,5/23/2024,Completed,L002
A10405,P07604,V1023,Checkup,4/20/2025,Scheduled,L001
A10406,P01166,V1035,Checkup,3/31/2026,Scheduled,L002
A10407,P07162,V1022,Skin Treatment,4/18/2024,Completed,L002
A10408,P05278,V1040,Heart Screening,12/16/2024,Completed,L002
A10409,P06466,V1023,Checkup,2/7/2026,Scheduled,L001
A10410,P00682,V1034,Dental Cleaning,8/22/2024,Completed,L001
A10411,P05569,V1024,Emergency,12/31/2024,Completed,L002
A10412,P01336,V1032,Heart Screening,12/22/2025,Scheduled,L002
A10413,P08041,V1028,Checkup,2/29/2024,Completed,L002
A10414,P08159,V1010,Emergency,7/20/2025,Cancelled,L002
A10415,P02115,V1002,Checkup,4/9/2025,Scheduled,L001
A10416,P07048,V1011,Neurological Exam,7/23/2026,Cancelled,L002
A10417,P03455,V1026,Neurological Exam,7/19/2025,Cancelled,L002
