PrescriptionID,PetID,IssueDate,VetID,Diagnosis
PR00137,P05260,1/23/2024,V1021,Distemper
PR00138,P05491,1/13/2025,V1035,Rabies
PR00139,P09211,12/18/2023,V1023,Obesity
PR00140,P07084,8/1/2023,V1022,Obesity
PR00141,P09051,1/14/2025,V1037,Pancreatitis
PR00142,P02764,7/26/2024,V1025,Gastroenteritis
PR00143,P01081,10/8/2023,V1037,Cushing’s Disease
PR00144,P01507,1/11/2025,V1022,Cushing’s Disease
PR00145,P07435,3/13/2024,V1038,Gastroenteritis
PR00146,P06077,6/21/2023,V1023,Cancer
PR00147,P00223,1/25/2024,V1022,Rabies
PR00148,P08684,8/26/2023,V1037,Hip Dysplasia
PR00149,P07876,12/13/2023,V1031,Pyometra
PR00150,P08168,6/6/2024,V1026,Pancreatitis
PR00151,P05967,8/22/2023,V1019,Arthritis
PR00152,P09984,1/15/2024,V1023,Parvovirus
PR00153,P07972,9/5/2024,V1002,Diabetes Mellitus
PR00154,P09906,6/16/2023,V1018,Kennel Cough
PR00155,P02226,4/5/2023,V1019,Leptospirosis
PR00156,P05205,2/18/2025,V1015,Pancreatitis
PR00157,P06108,6/9/2023,V1036,Pancreatitis
PR00158,P00328,8/14/2023,V1033,Bloat
PR00159,P00764,10/1/2024,V1005,Parvovirus
PR00160,P05277,6/17/2023,V1048,Feline Leukemia Virus
PR00161,P00956,10/25/2023,V1035,Allergies
PR00162,P03714,2/28/2024,V1005,Heat Stroke
PR00163,P09364,1/31/2025,V1001,Rabies
PR00164,P00367,12/15/2023,V1000,Kidney Disease
PR00165,P02160,9/18/2024,V1029,Lyme Disease
PR00166,P08016,9/12/2023,V1027,Kidney Disease
PR00167,P06308,6/5/2023,V1026,Obesity
PR00168,P07033,7/12/2023,V1014,Kidney Disease
PR00169,P07846,6/6/2023,V1008,Gastroenteritis
PR00170,P09865,11/13/2023,V1040,Pyometra
PR00171,P04185,3/19/2024,V1011,Feline Immunodeficiency Virus
PR00172,P08143,9/13/2023,V1003,Pancreatitis
PR00173,P08970,4/7/2023,V1010,Rabies
PR00174,P02492,6/17/2024,V1025,Diabetes Mellitus
PR00175,P04894,7/8/2024,V1001,Heat Stroke
PR00176,P08592,1/30/2025,V1032,Cushing’s Disease
PR00177,P02832,1/15/2024,V1030,Bloat
PR00178,P08834,7/18/2024,V1042,Hypothyroidism
PR00179,P09315,4/19/2023,V1045,Diabetes Mellitus
PR00180,P09459,8/16/2024,V1020,Leptospirosis
PR00181,P02223,3/6/2024,V1021,Heartworm Disease
PR00182,P00176,9/2/2024,V1027,Feline Leukemia Virus
PR00183,P07677,10/15/2023,V1034,Pyometra
PR00184,P03263,7/25/2023,V1007,Obesity
PR00185,P03238,9/14/2023,V1019,Feline Upper Respiratory Infection
PR00186,P06736,9/13/2023,V1010,Ringworm
PR00187,P07837,3/11/2023,V1017,Feline Immunodeficiency Virus
PR00188,P00936,9/23/2023,V1005,Cancer
PR00189,P02628,4/20/2023,V1008,Cushing’s Disease
PR00190,P05581,8/21/2023,V1009,Ear Infections
PR00191,P01610,8/11/2024,V1006,Arthritis
PR00192,P06039,10/15/2023,V1018,Diabetes Mellitus
PR00193,P02082,8/26/2023,V1021,Cancer
PR00194,P02772,9/20/2023,V1032,Ear Infections
PR00195,P09739,2/11/2024,V1040,Diabetes Mellitus
PR00196,P07042,7/26/2024,V1014,Allergies
PR00197,P02335,3/6/2024,V1016,Ear Infections
PR00198,P00639,10/15/2023,V1048,Dental Disease
PR00199,P06456,2/15/2024,V1016,Hip Dysplasia
PR00200,P00482,10/15/2024,V1003,Pancreatitis
PR00201,P01598,7/1/2024,V1020,Hypothyroidism
PR00202,P05409,5/4/2024,V1046,Cushing’s Disease
PR00203,P01035,1/22/2024,V1037,Pyometra
PR00204,P01284,10/20/2023,V1010,Heat Stroke
PR00205,P06319,2/25/2025,V1000,Parvovirus
PR00206,P07412,2/8/2024,V1039,Cushing’s Disease
PR00207,P04631,10/15/2024,V1036,Heat Stroke
PR00208,P08159,2/8/2025,V1039,Ringworm
PR00209,P08949,10/20/2024,V1021,Feline Upper Respiratory Infection
PR00210,P00419,3/1/2024,V1045,Pancreatitis
PR00211,P00988,7/14/2023,V1007,Allergies
PR00212,P02168,2/18/2024,V1041,Dental Disease
PR00213,P05920,3/18/2023,V1008,Leptospirosis
PR00214,P06625,11/20/2023,V1031,Kennel Cough
PR00215,P02558,4/17/2024,V1030,Arthritis
PR00216,P04229,3/13/2023,V1049,Parvovirus
PR00217,P09927,5/19/2023,V1017,Feline Upper Respiratory Infection
PR00218,P08770,8/31/2023,V1049,Arthritis
PR00219,P01103,1/21/2025,V1007,Bloat
PR00220,P08187,8/24/2023,V1006,Addison’s Disease
PR00221,P07459,2/24/2025,V1033,Leptospirosis
PR00222,P02885,9/2/2023,V1030,Rabies
PR00223,P02838,7/1/2023,V1028,Feline Immunodeficiency Virus
PR00224,P03752,5/11/2023,V1031,Rabies
PR00225,P02080,9/5/2024,V1022,Heartworm Disease
PR00226,P08737,3/4/2023,V1006,Kidney Disease
PR00227,P03490,6/16/2023,V1025,Cushing’s Disease
PR00228,P02681,7/2/2023,V1035,Hypothyroidism
PR00229,P07959,9/4/2023,V1026,Hypothyroidism
PR00230,P08078,8/20/2024,V1029,Parvovirus
PR00231,P00496,9/30/2024,V1018,Gastroenteritis
PR00232,P01206,7/9/2024,V1030,Addison’s Disease
PR00233,P00848,10/29/2023,V1028,Bloat
PR00234,P00964,7/18/2023,V1010,Ringworm
PR00235,P05796,10/6/2024,V1000,Kennel Cough
PR00236,P09159,11/13/2024,V1020,Pyometra
PR00237,P06146,12/17/2024,V1026,Parvovirus
PR00238,P00580,3/18/2023,V1008,Kidney Disease
PR00239,P00214,5/22/2024,V1004,Dental Disease
PR00240,P04390,7/27/2024,V1016,Feline Immunodeficiency Virus
PR00241,P07586,9/20/2024,V1035,Leptospirosis
PR00242,P05367,6/17/2024,V1014,Parvovirus
PR00243,P06207,10/12/2023,V1021,Addison’s Disease
PR00244,P04512,3/13/2023,V1010,Foreign Body Ingestion
PR00245,P04540,2/13/2025,V1040,Addison’s Disease
PR00246,P03528,4/15/2024,V1045,Diabetes Mellitus
PR00247,P07883,8/27/2023,V1048,Arthritis
PR00248,P08695,7/7/2023,V1042,Cancer
PR00249,P03472,1/17/2024,V1041,Hip Dysplasia
PR00250,P08852,3/26/2023,V1003,Ringworm
PR00251,P02052,3/26/2023,V1044,Distemper
PR00252,P03795,5/9/2024,V1022,Addison’s Disease
PR00253,P07554,6/13/2023,V1028,Hyperthyroidism
PR00254,P05364,12/3/2023,V1020,Hip Dysplasia
PR00255,P02137,4/13/2023,V1030,Parvovirus
PR00256,P01157,7/29/2023,V1047,Bloat
PR00257,P03044,6/15/2024,V1046,Allergies
PR00258,P01150,5/20/2023,V1039,Hypothyroidism
PR00259,P03378,11/7/2023,V1003,Gastroenteritis
PR00260,P01532,5/26/2023,V1038,Dental Disease
PR00261,P04158,5/9/2024,V1022,Heartworm Disease
PR00262,P09275,10/18/2024,V1049,Cancer
PR00263,P06055,2/22/2025,V1044,Lyme Disease
PR00264,P00402,6/7/2023,V1015,Pancreatitis
PR00265,P01627,5/6/2024,V1020,Foreign Body Ingestion
PR00266,P05393,6/30/2024,V1015,Ear Infections
PR00267,P04642,5/1/2024,V1011,Diabetes Mellitus
PR00268,P09563,11/6/2023,V1019,Rabies
PR00269,P05118,12/4/2024,V1046,Pyometra
PR00270,P08926,8/5/2024,V1006,Gastroenteritis
PR00271,P03592,6/4/2024,V1023,Cancer
PR00272,P05563,7/10/2023,V1040,Dental Disease
PR00273,P02661,1/6/2024,V1023,Rabies
PR00274,P01844,7/19/2023,V1044,Heat Stroke
PR00275,P05135,7/15/2023,V1032,Ear Infections
PR00276,P02090,1/29/2025,V1033,Ear Infections
PR00277,P09449,10/11/2024,V1031,Heartworm Disease
PR00278,P08986,11/9/2024,V1037,Ringworm
PR00279,P00469,1/3/2024,V1035,Ringworm
PR00280,P07641,6/16/2024,V1022,Lyme Disease
PR00281,P04613,6/22/2024,V1038,Kennel Cough
PR00282,P08334,8/5/2023,V1045,Bloat
PR00283,P00656,10/10/2023,V1021,Rabies
PR00284,P06998,12/26/2023,V1024,Pancreatitis
PR00285,P04126,1/28/2024,V1047,Feline Leukemia Virus
PR00286,P07933,5/1/2024,V1045,Feline Immunodeficiency Virus
PR00287,P00293,2/12/2024,V1028,Rabies
PR00288,P01564,2/17/2025,V1042,Ear Infections
PR00289,P03230,12/8/2024,V1038,Hip Dysplasia
PR00290,P00494,2/10/2025,V1022,Hip Dysplasia
PR00291,P08098,2/13/2024,V1034,Obesity
PR00292,P09785,11/1/2023,V1017,Lyme Disease
PR00293,P00909,5/3/2023,V1019,Leptospirosis
PR00294,P06484,5/29/2024,V1010,Cushing’s Disease
PR00295,P05285,6/25/2023,V1036,Ear Infections
PR00296,P06674,4/22/2024,V1029,Kidney Disease
PR00297,P03789,9/15/2024,V1047,Hip Dysplasia
PR00298,P02199,6/7/2023,V1014,Cushing’s Disease
PR00299,P07036,4/29/2023,V1042,Hyperthyroidism
PR00300,P02180,1/5/2024,V1034,Cancer
PR00301,P06743,2/9/2025,V1012,Rabies
PR00302,P03804,11/16/2024,V1001,Arthritis
PR00303,P08854,7/2/2024,V1015,Bloat
PR00304,P03497,8/7/2023,V1029,Obesity
PR00305,P07338,12/31/2024,V1033,Arthritis
PR00306,P01799,1/26/2025,V1042,Heartworm Disease
PR00307,P01872,9/21/2024,V1019,Ear Infections
PR00308,P04428,8/26/2024,V1006,Obesity
PR00309,P00209,8/18/2024,V1010,Pancreatitis
PR00310,P09481,1/28/2024,V1007,Leptospirosis
PR00311,P03621,8/17/2023,V1009,Cushing’s Disease
PR00312,P04496,10/10/2023,V1022,Cancer
PR00313,P09929,9/24/2023,V1026,Pancreatitis
PR00314,P05865,12/12/2024,V1020,Pancreatitis
PR00315,P08039,8/3/2024,V1045,Parvovirus
PR00316,P00760,12/17/2023,V1010,Diabetes Mellitus
PR00317,P09281,10/21/2024,V1035,Distemper
PR00318,P01456,5/21/2023,V1036,Feline Leukemia Virus
PR00319,P06403,5/30/2023,V1001,Ear Infections
PR00320,P06797,4/9/2023,V1044,Arthritis
PR00321,P08384,2/18/2025,V1031,Leptospirosis
PR00322,P04760,9/12/2024,V1047,Bloat
PR00323,P08958,1/4/2025,V1027,Diabetes Mellitus
PR00324,P09320,12/7/2024,V1013,Rabies
PR00325,P06634,4/11/2024,V1001,Kennel Cough
PR00326,P01203,7/14/2023,V1049,Ear Infections
PR00327,P08748,5/10/2024,V1044,Foreign Body Ingestion
PR00328,P00658,5/4/2023,V1031,Cancer
PR00329,P00290,8/28/2024,V1019,Gastroenteritis
PR00330,P00063,2/18/2025,V1009,Hyperthyroidism
PR00331,P08028,2/20/2025,V1014,Distemper
PR00332,P02630,4/1/2024,V1011,Obesity
PR00333,P01983,1/31/2025,V1046,Bloat
PR00334,P09321,1/7/2025,V1002,Ear Infections
PR00335,P05459,7/8/2023,V1003,Kidney Disease
PR00336,P05047,9/30/2024,V1012,Hypothyroidism
PR00337,P08995,3/13/2023,V1040,Kennel Cough
PR00338,P02293,3/23/2024,V1020,Rabies
PR00339,P02746,12/9/2023,V1019,Pyometra
PR00340,P08307,6/8/2023,V1041,Obesity
PR00341,P09009,3/25/2023,V1038,Hip Dysplasia
PR00342,P08917,3/27/2023,V1022,Parvovirus
PR00343,P04556,6/25/2023,V1044,Ringworm
PR00344,P00153,5/6/2023,V1027,Distemper
PR00345,P00326,6/7/2023,V1018,Heat Stroke
PR00346,P04142,8/21/2023,V1023,Gastroenteritis
PR00347,P06502,4/18/2023,V1010,Hip Dysplasia
PR00348,P02795,11/24/2024,V1032,Parvovirus
PR00349,P04886,5/29/2024,V1019,Gastroenteritis
PR00350,P01447,4/28/2023,V1017,Heat Stroke
PR00351,P09983,11/25/2023,V1024,Lyme Disease
PR00352,P06696,7/3/2024,V1005,Arthritis
PR00353,P01850,7/24/2023,V1015,Cushing’s Disease
PR00354,P08202,8/30/2023,V1049,Cancer
PR00355,P06568,11/21/2024,V1027,Hip Dysplasia
PR00356,P04227,11/4/2024,V1017,Diabetes Mellitus
PR00357,P01442,12/31/2024,V1040,Pyometra
PR00358,P02166,2/16/2025,V1010,Lyme Disease
PR00359,P06299,4/8/2023,V1004,Feline Immunodeficiency Virus
PR00360,P05187,5/19/2023,V1016,Feline Immunodeficiency Virus
PR00361,P02748,3/14/2024,V1025,Ear Infections
PR00362,P07657,5/29/2023,V1009,Ear Infections
PR00363,P07654,6/16/2024,V1010,Feline Upper Respiratory Infection
PR00364,P00972,4/9/2024,V1011,Foreign Body Ingestion
PR00365,P03883,12/12/2024,V1030,Ear Infections
PR00366,P06979,6/25/2023,V1023,Kennel Cough
PR00367,P00434,2/22/2024,V1014,Diabetes Mellitus
PR00368,P02649,5/3/2023,V1021,Kennel Cough
PR00369,P08880,11/18/2024,V1023,Dental Disease
PR00370,P00187,8/27/2024,V1000,Arthritis
PR00371,P00960,3/13/2023,V1014,Feline Immunodeficiency Virus
PR00372,P00108,5/11/2023,V1031,Feline Immunodeficiency Virus
PR00373,P08902,8/29/2023,V1016,Heartworm Disease
PR00374,P07940,10/2/2023,V1019,Ear Infections
PR00375,P03678,3/9/2023,V1031,Cancer
PR00376,P01415,10/11/2024,V1012,Rabies
PR00377,P09777,6/18/2024,V1030,Kidney Disease
PR00378,P03398,4/24/2024,V1005,Ringworm
PR00379,P09838,4/15/2023,V1008,Feline Upper Respiratory Infection
PR00380,P08683,6/19/2023,V1033,Lyme Disease
PR00381,P01756,6/22/2024,V1008,Obesity
PR00382,P05496,11/28/2024,V1027,Ringworm
PR00383,P03576,5/9/2023,V1026,Pyometra
PR00384,P04337,3/14/2024,V1001,Hip Dysplasia
PR00385,P04310,5/30/2023,V1009,Heartworm Disease
PR00386,P00697,5/21/2024,V1045,Kidney Disease
PR00387,P00048,7/29/2024,V1015,Kennel Cough
PR00388,P04810,8/25/2024,V1022,Pyometra
PR00389,P05133,11/9/2024,V1007,Diabetes Mellitus
PR00390,P04836,9/19/2024,V1014,Lyme Disease
PR00391,P09857,12/12/2024,V1025,Heat Stroke
PR00392,P01567,8/23/2024,V1048,Diabetes Mellitus
PR00393,P00806,3/26/2024,V1005,Parvovirus
PR00394,P04492,5/27/2023,V1044,Bloat
PR00395,P04907,12/23/2024,V1013,Foreign Body Ingestion
PR00396,P02178,9/5/2024,V1022,Hip Dysplasia
PR00397,P01885,11/23/2024,V1025,Heartworm Disease
PR00398,P07346,2/11/2025,V1031,Dental Disease
PR00399,P07598,5/19/2024,V1045,Ear Infections
PR00400,P03314,4/23/2024,V1029,Ringworm
PR00401,P04347,8/15/2024,V1005,Diabetes Mellitus
PR00402,P04734,8/2/2024,V1033,Diabetes Mellitus
PR00403,P07033,8/13/2024,V1035,Foreign Body Ingestion
PR00404,P05501,7/22/2024,V1012,Allergies
PR00405,P05681,7/10/2023,V1045,Hyperthyroidism
PR00406,P06232,11/3/2024,V1019,Ringworm
PR00407,P01976,12/26/2023,V1040,Pancreatitis
PR00408,P06612,7/4/2023,V1011,Feline Upper Respiratory Infection
PR00409,P00913,4/27/2024,V1034,Dental Disease
PR00410,P02000,1/20/2024,V1006,Lyme Disease
PR00411,P00898,10/2/2023,V1034,Parvovirus
PR00412,P05837,10/16/2024,V1041,Leptospirosis
PR00413,P01087,6/10/2024,V1008,Diabetes Mellitus
PR00414,P05235,8/7/2024,V1033,Pancreatitis
PR00415,P08838,11/20/2024,V1025,Feline Immunodeficiency Virus
PR00416,P02602,7/7/2024,V1007,Leptospirosis
PR00417,P05477,9/8/2023,V1004,Pyometra
PR00418,P08819,8/27/2024,V1033,Feline Immunodeficiency Virus
PR00419,P02890,10/15/2024,V1038,Addison’s Disease
PR00420,P00008,1/6/2024,V1046,Hypothyroidism
PR00421,P02969,1/26/2024,V1027,Allergies
PR00422,P09655,12/21/2024,V1044,Feline Upper Respiratory Infection
PR00423,P06504,9/1/2024,V1025,Dental Disease
PR00424,P09421,8/29/2023,V1033,Rabies
PR00425,P08244,7/16/2024,V1035,Foreign Body Ingestion
PR00426,P03560,11/23/2023,V1027,Hyperthyroidism
PR00427,P03382,7/28/2024,V1001,Parvovirus
PR00428,P04482,5/14/2024,V1010,Obesity
PR00429,P00267,3/29/2024,V1038,Cancer
PR00430,P06362,9/15/2023,V1012,Obesity
PR00431,P08830,8/1/2023,V1038,Kennel Cough
PR00432,P03957,12/18/2024,V1043,Ringworm
PR00433,P09312,3/13/2023,V1046,Allergies
PR00434,P07061,8/18/2024,V1039,Distemper
PR00435,P06826,5/27/2023,V1017,Leptospirosis
PR00436,P00931,1/28/2024,V1044,Hip Dysplasia
PR00437,P01571,10/25/2023,V1013,Cancer
PR00438,P07133,2/22/2025,V1008,Hyperthyroidism
PR00439,P03777,5/23/2024,V1008,Diabetes Mellitus
PR00440,P02473,9/1/2023,V1008,Distemper
PR00441,P07254,7/1/2024,V1011,Dental Disease
PR00442,P07517,8/5/2023,V1003,Kidney Disease
PR00443,P05605,5/8/2024,V1033,Foreign Body Ingestion
PR00444,P02134,7/28/2023,V1024,Rabies
PR00445,P04008,11/27/2024,V1004,Bloat
PR00446,P05285,11/29/2024,V1047,Pancreatitis
PR00447,P00840,6/17/2023,V1049,Kennel Cough
PR00448,P04560,3/31/2024,V1007,Dental Disease
PR00449,P07769,2/26/2025,V1042,Arthritis
PR00450,P02449,3/10/2024,V1037,Hypothyroidism
PR00451,P08570,4/21/2023,V1029,Addison’s Disease
PR00452,P08009,7/5/2024,V1043,Kidney Disease
PR00453,P07616,3/21/2023,V1019,Obesity
PR00454,P01471,5/15/2024,V1013,Dental Disease
PR00455,P00404,6/24/2024,V1016,Hyperthyroidism
PR00456,P03953,6/15/2023,V1000,Foreign Body Ingestion
PR00457,P07969,1/15/2024,V1018,Pancreatitis
PR00458,P01439,4/20/2024,V1046,Distemper
PR00459,P07574,10/27/2023,V1032,Foreign Body Ingestion
PR00460,P05017,10/14/2023,V1018,Gastroenteritis
PR00461,P06419,3/9/2024,V1045,Distemper
PR00462,P03981,10/31/2024,V1008,Feline Upper Respiratory Infection
PR00463,P00183,7/20/2023,V1040,Allergies
PR00464,P00794,12/22/2024,V1025,Pyometra
PR00465,P05073,11/26/2023,V1036,Rabies
PR00466,P00419,6/29/2023,V1030,Cancer
PR00467,P01012,9/8/2024,V1010,Kidney Disease
PR00468,P00078,6/13/2024,V1042,Lyme Disease
PR00469,P04293,2/20/2025,V1018,Kennel Cough
PR00470,P09383,2/11/2025,V1003,Distemper
PR00471,P07210,7/28/2024,V1008,Feline Immunodeficiency Virus
PR00472,P04250,12/15/2024,V1021,Cushing’s Disease
PR00473,P06086,5/19/2023,V1017,Pancreatitis
PR00474,P00434,6/2/2024,V1006,Feline Immunodeficiency Virus
PR00475,P02916,9/14/2023,V1010,Distemper
PR00476,P09956,9/5/2024,V1038,Parvovirus
PR00477,P04068,5/19/2023,V1026,Foreign Body Ingestion
PR00478,P00678,10/1/2024,V1029,Dental Disease
PR00479,P07093,12/24/2023,V1015,Lyme Disease
PR00480,P06902,5/6/2024,V1036,Kennel Cough
PR00481,P03336,10/15/2023,V1021,Leptospirosis
PR00482,P07220,4/28/2023,V1002,Kennel Cough
PR00483,P05683,11/14/2024,V1048,Arthritis
PR00484,P08024,10/23/2023,V1018,Feline Upper Respiratory Infection
PR00485,P05665,11/19/2023,V1042,Cushing’s Disease
PR00486,P05405,6/16/2023,V1000,Pancreatitis
PR00487,P03859,8/15/2023,V1041,Leptospirosis
PR00488,P01501,12/5/2023,V1033,Leptospirosis
PR00489,P07510,9/30/2023,V1010,Diabetes Mellitus
PR00490,P06403,3/18/2024,V1016,Ear Infections
PR00491,P08876,8/15/2024,V1019,Diabetes Mellitus
PR00492,P08587,3/15/2024,V1026,Kidney Disease
PR00493,P04141,11/23/2023,V1033,Ringworm
PR00494,P00576,3/6/2024,V1029,Foreign Body Ingestion
PR00495,P01396,11/24/2024,V1028,Hypothyroidism
PR00496,P07098,12/2/2024,V1043,Hypothyroidism
